2025-02-01 21:52:08.224  4795-4802  ignumberexample         com.bignumberexample                 W  ApkAssets: Deleting an ApkAssets object '<empty> and /data/app/~~RvW0JyBdDOdB_XZC-Xvyrw==/com.google.android.webview-m-AmG6O0y-Q4EvCcQLc45w==/base.apk' with 2 weak references
2025-02-01 21:52:08.337  4795-4810  EGL_emulation           com.bignumberexample                 D  app_time_stats: avg=203.23ms min=1.45ms max=3423.49ms count=17
2025-02-01 21:52:10.268  4795-4810  EGL_emulation           com.bignumberexample                 D  app_time_stats: avg=35.54ms min=1.48ms max=1085.30ms count=51
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #46 pc 00000000001895a8  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #47 pc 0000000000188adc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #48 pc 000000000016a714  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #49 pc 00000000001690f8  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #50 pc 0000000000231adc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #51 pc 000000000016a40c  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #52 pc 00000000001895a8  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #53 pc 0000000000188adc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #54 pc 000000000016a714  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #55 pc 00000000001690f8  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #56 pc 0000000000231adc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #57 pc 000000000016a40c  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #58 pc 00000000001895a8  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #59 pc 0000000000188adc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #60 pc 000000000016a714  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #61 pc 0000000000169f68  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #62 pc 00000000000e1c90  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
